"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","temp_id","yearRecorded","protectedArea","IUCN_CAT","OECM","protectedAreaType","GOV_TYPE","OWNER_E","IUCN_Categ","decimalLatitude","decimalLongitude"
"× Elyhordeum stebbinsianum","(Bowden) Bowden",1435202,"Plantae","Tracheophyta","Liliopsida","Poales","",NA,"Poaceae","× Elyhordeum ",NA,"","× Elyhordeum stebbinsianum","hybrid","BABY","BABY","BABY-11514","","BABY-11514-11239","Frank Lomer; Judith Holm","11239",NA,"2018-07-14",2018,7,14,"PRESERVED_SPECIMEN","Squamish River estuary, 1.8 km north of river mouth at end of Spit Road, 50 m east of Spit Road",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","SNA",NA,"Frank Lomer",NA,NA,NA,NA,NA,1,2018,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.702083,-123.175972
"× Elyhordeum stebbinsianum","(Bowden) Bowden",1435202,"Plantae","Tracheophyta","Liliopsida","Poales","",NA,"Poaceae","× Elyhordeum ",NA,"","× Elyhordeum stebbinsianum","hybrid","UBC","UBCVascular","V253319","","E62FD1F3-62A0-B649-8382-B5D48C180540","Frank Lomer, Judith Holm","11239",NA,"2018-07-14",2018,7,14,"PRESERVED_SPECIMEN","Squamish River estuary, 1.8 km north of river mouth at end of Spit Road, 50 m east of Spit Road",NA,NA,"British Columbia","Canada","CA",5,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","SNA",NA,"Frank Lomer",NA,NA,NA,NA,NA,2,2018,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.7021109990697,-123.175972
"× Elyhordeum stebbinsianum","(Bowden) Bowden",1435202,"Plantae","Tracheophyta","Liliopsida","Poales","",NA,"Poaceae","× Elyhordeum ",NA,"","× Elyhordeum stebbinsianum","hybrid","","","BABY-11514","","http://bins.boldsystems.org/index.php/Public_RecordView?processid=BBYUK3195-20","Frank Lomer; Judith Holm","",NA,"2018-07-14",2018,7,14,"MATERIAL_SAMPLE","Squamish River estuary, 1.8 km north of river mouth at end of Spit Road, 50 m east of Spit Road",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","SNA",NA,"Frank Lomer",NA,NA,NA,NA,NA,3,2018,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.702,-123.176
"Acer circinatum","Pursh",48258,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,"Sapindaceae","Acer",NA,"Acer circinatum","","species","iNaturalist","Observations","45658703","","https://www.inaturalist.org/observations/45658703","Chloe and Trevor Van Loon","",NA,"2020-05-09",2020,5,9,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Chloe and Trevor Van Loon",NA,NA,NA,NA,NA,564,2020,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.709144,-123.165287
"Acer circinatum","Pursh",48258,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,"Sapindaceae","Acer",NA,"Acer circinatum","","species","iNaturalist","Observations","133778718","","https://www.inaturalist.org/observations/133778718","Sam Turner","",NA,"2022-09-03",2022,9,3,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Sam Turner",NA,NA,NA,NA,NA,574,2022,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.706297,-123.166069
"Acer circinatum","Pursh",48258,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,"Sapindaceae","Acer",NA,"Acer circinatum","","species","iNaturalist","Observations","227566236","","https://www.inaturalist.org/observations/227566236","Andrew Simon","",NA,"2024-07-05",2024,7,5,"Human Observation","",NA,NA,"British Columbia","Canada","CA",34,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,583,2024,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.6999781851,-123.167622
"Acer circinatum","Pursh",48258,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,"Sapindaceae","Acer",NA,"Acer circinatum","","species","iNaturalist","Observations","45658703","","https://www.inaturalist.org/observations/45658703","Chloe and Trevor Van Loon","",NA,"2020-05-09",2020,5,9,"Human Observation","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,593,2020,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.7091436111,-123.1652875
"Acer circinatum","Pursh",48258,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,"Sapindaceae","Acer",NA,"Acer circinatum","","species","iNaturalist","Observations","9450143","","https://www.inaturalist.org/observations/9450143","J. Burke Korol","",NA,"1996-04-25",1996,4,25,"Human Observation","",NA,NA,"British Columbia","Canada","CA",400,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,619,1996,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.698754,-123.179247
"Acer circinatum","Pursh",48258,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,"Sapindaceae","Acer",NA,"Acer circinatum","","species","iNaturalist","Observations","9781145","","https://www.inaturalist.org/observations/9781145","J. Burke Korol","",NA,"1996-04-27",1996,4,27,"Human Observation","",NA,NA,"British Columbia","Canada","CA",200,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,620,1996,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.69831,-123.180052
"Acer circinatum","Pursh",48258,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,"Sapindaceae","Acer",NA,"Acer circinatum","","species","iNaturalist","Observations","9576359","","https://www.inaturalist.org/observations/9576359","J. Burke Korol","",NA,"1996-04-28",1996,4,28,"Human Observation","",NA,NA,"British Columbia","Canada","CA",316,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,621,1996,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.69769,-123.178977
"Acer circinatum","Pursh",48258,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,"Sapindaceae","Acer",NA,"Acer circinatum","","species","iNaturalist","Observations","8728782","","https://www.inaturalist.org/observations/8728782","judith holm","",NA,"2016-04-09",2016,4,9,"Human Observation","",NA,NA,"British Columbia","Canada","CA",85,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,645,2016,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.714202,-123.166587
