"period","cell_id","record_count","richness"
"1890-2010",1376,4,4
"1890-2010",1378,7,2
"1890-2010",1386,14,11
"1890-2010",1387,2,2
"1890-2010",1389,2,2
"1890-2010",1392,1,1
"1890-2010",1395,2,2
"1890-2010",1434,2,1
"1890-2010",1435,1,1
"1890-2010",1443,1,1
"1890-2010",1488,36,22
"1890-2010",1490,1,1
"1890-2010",1492,1,1
"1890-2010",1496,2,2
"1890-2010",1499,1,1
"1890-2010",1501,5,4
"1890-2010",1502,1,1
"1890-2010",1599,21,14
"1890-2010",1602,3,2
"1890-2010",1603,5,3
"1890-2010",1612,1,1
"1890-2010",1613,6,3
"1890-2010",1657,3,2
"1890-2010",1658,1,1
"1890-2010",1664,2,1
"1890-2010",1667,2,1
"1890-2010",1711,1,1
"1890-2010",1712,4,3
"1890-2010",1714,1,1
"1890-2010",1720,6,6
"1890-2010",1721,13,9
"1890-2010",1768,2,2
"1890-2010",1826,33,26
"1890-2010",1831,1,1
"1890-2010",1880,1,1
"1890-2010",1882,1,1
"1890-2010",1883,1,1
"1890-2010",1938,1,1
"1890-2010",1991,4,4
"1890-2010",1992,3,1
"1890-2010",1993,1,1
"1890-2010",1996,2,2
"1890-2010",1998,1,1
"1890-2010",2047,2,1
"1890-2010",2048,4,2
"1890-2010",2049,2,2
"1890-2010",2052,6,3
"1890-2010",2102,36,28
"1890-2010",2103,69,68
"1890-2010",2104,5,4
"1890-2010",2105,2,1
"1890-2010",2158,8,7
"1890-2010",2159,1,1
"1890-2010",2161,2,2
"1890-2010",2214,1,1
"1890-2010",2215,27,16
"1890-2010",2216,2,2
"1890-2010",2217,2,2
"1890-2010",2271,2,1
"1890-2010",2272,3,3
"1890-2010",2273,1,1
"1890-2010",2328,6,4
"1890-2010",2436,1,1
"1890-2010",2437,3,3
"1890-2010",2438,3,3
"1890-2010",2439,2,1
"1890-2010",2549,1,1
"1890-2010",2550,4,1
"1890-2010",2555,1,1
"1890-2010",2560,1,1
"1890-2010",2587,4,4
"1890-2010",2605,1,1
"1890-2010",2779,1,1
"1890-2010",2827,2,2
"1890-2010",2828,1,1
"1890-2010",2939,1,1
"1890-2010",2994,14,14
"1890-2010",3026,1,1
"1890-2010",3050,2,1
"1890-2010",3055,1,1
"1890-2010",3140,1,1
"1890-2010",3158,5,3
"1890-2010",3161,6,6
"1890-2010",3253,1,1
"1890-2010",3255,1,1
"1890-2010",3270,2,1
"1890-2010",3273,4,4
"1890-2010",3274,2,1
"1890-2010",3310,1,1
"1890-2010",3311,3,2
"1890-2010",3322,1,1
"1890-2010",3324,1,1
"1890-2010",3326,4,3
"1890-2010",3329,5,5
"1890-2010",3330,3,3
"1890-2010",3382,1,1
"1890-2010",3385,1,1
"1890-2010",3386,2,1
"1890-2010",3421,3,2
"1890-2010",3424,1,1
"1890-2010",3427,1,1
"1890-2010",3432,4,4
"1890-2010",3438,1,1
"1890-2010",3440,1,1
"1890-2010",3445,14,10
"1890-2010",3498,19,10
"1890-2010",3533,9,3
"1890-2010",3541,1,1
"1890-2010",3543,11,7
"1890-2010",3544,3,2
"1890-2010",3553,1,1
"1890-2010",3607,2,1
"1890-2010",3610,6,3
"1890-2010",3662,1,1
"1890-2010",3666,3,3
"1890-2010",3669,8,7
"1890-2010",3765,1,1
"1890-2010",3769,1,1
"1890-2010",3816,2,1
"1890-2010",3824,3,2
"1890-2010",3827,2,2
"1890-2010",3879,2,2
"1890-2010",3880,1,1
"1890-2010",3882,1,1
"1890-2010",3883,1,1
"1890-2010",3889,1,1
"1890-2010",3941,1,1
"1890-2010",3983,5,5
"1890-2010",3990,1,1
"1890-2010",3992,1,1
"1890-2010",3996,1,1
"1890-2010",3998,3,2
"1890-2010",4004,19,12
"1890-2010",4005,49,31
"1890-2010",4037,1,1
"1890-2010",4047,1,1
"1890-2010",4049,7,6
"1890-2010",4050,3,2
"1890-2010",4051,11,11
"1890-2010",4054,1,1
"1890-2010",4055,2,2
"1890-2010",4056,7,5
"1890-2010",4057,13,12
"1890-2010",4060,6,6
"1890-2010",4061,1,1
"1890-2010",4104,1,1
"1890-2010",4107,1,1
"1890-2010",4110,24,7
"1890-2010",4111,5,4
"1890-2010",4112,7,5
"1890-2010",4114,9,4
"1890-2010",4116,1,1
"1890-2010",4117,1,1
"1890-2010",4118,2,1
"1890-2010",4155,1,1
"1890-2010",4157,2,2
"1890-2010",4160,1,1
"1890-2010",4161,8,6
"1890-2010",4163,1,1
"1890-2010",4166,12,10
"1890-2010",4167,6,5
"1890-2010",4168,47,37
"1890-2010",4169,2,2
"1890-2010",4172,1,1
"1890-2010",4223,17,6
"1890-2010",4224,30,17
"1890-2010",4269,2,2
"1890-2010",4274,2,2
"1890-2010",4279,1,1
"1890-2010",4280,2,2
"1890-2010",4281,48,23
"1890-2010",4282,1,1
"1890-2010",4336,1,1
"1890-2010",4337,2,1
"1890-2010",4380,4,4
"1890-2010",4381,1,1
"1890-2010",4387,3,1
"1890-2010",4390,1,1
"1890-2010",4392,20,11
"1890-2010",4393,1,1
"1890-2020",27,1,1
"1890-2020",29,3,3
"1890-2020",30,19,12
"1890-2020",82,1,1
"1890-2020",84,1,1
"1890-2020",85,6,3
"1890-2020",86,18,11
"1890-2020",87,3,2
"1890-2020",138,3,3
"1890-2020",141,2,2
"1890-2020",198,2,2
"1890-2020",251,12,9
"1890-2020",257,14,9
"1890-2020",258,1,1
"1890-2020",307,31,20
"1890-2020",312,5,4
"1890-2020",313,22,13
"1890-2020",318,1,1
"1890-2020",363,3,2
"1890-2020",368,7,6
"1890-2020",369,6,4
"1890-2020",373,1,1
"1890-2020",375,1,1
"1890-2020",424,7,5
"1890-2020",425,8,4
"1890-2020",429,1,1
"1890-2020",430,1,1
"1890-2020",432,2,2
"1890-2020",433,2,1
"1890-2020",479,2,2
"1890-2020",480,62,46
"1890-2020",482,5,4
"1890-2020",487,2,1
"1890-2020",488,56,26
"1890-2020",489,115,49
"1890-2020",490,33,14
"1890-2020",536,1,1
"1890-2020",539,110,28
"1890-2020",540,113,41
"1890-2020",541,57,23
"1890-2020",542,169,82
"1890-2020",543,37,11
"1890-2020",544,19,11
"1890-2020",545,4,4
"1890-2020",546,168,64
"1890-2020",547,2,2
"1890-2020",549,2,2
"1890-2020",590,2,2
"1890-2020",591,1,1
"1890-2020",595,1,1
"1890-2020",596,36,16
"1890-2020",597,92,29
"1890-2020",598,88,25
"1890-2020",599,265,59
"1890-2020",602,1,1
"1890-2020",604,1,1
"1890-2020",639,1,1
"1890-2020",647,2,1
"1890-2020",648,4,2
"1890-2020",650,1,1
"1890-2020",651,1,1
"1890-2020",653,1,1
"1890-2020",654,3,3
"1890-2020",655,21,9
"1890-2020",656,6,5
"1890-2020",657,101,70
"1890-2020",658,1,1
"1890-2020",659,2,1
"1890-2020",661,16,15
"1890-2020",662,1,1
"1890-2020",703,32,14
"1890-2020",704,2,1
"1890-2020",711,2,1
"1890-2020",712,111,27
"1890-2020",713,3,3
"1890-2020",715,1,1
"1890-2020",716,2,1
"1890-2020",752,1,1
"1890-2020",753,6,5
"1890-2020",756,1,1
"1890-2020",759,5,3
"1890-2020",760,2,1
"1890-2020",764,13,8
"1890-2020",774,77,59
"1890-2020",775,1,1
"1890-2020",804,7,5
"1890-2020",807,1,1
"1890-2020",809,1,1
"1890-2020",814,1,1
"1890-2020",815,32,18
"1890-2020",816,7,5
"1890-2020",825,1,1
"1890-2020",827,2,1
"1890-2020",856,3,3
"1890-2020",860,13,10
"1890-2020",861,2,2
"1890-2020",862,4,3
"1890-2020",863,1,1
"1890-2020",864,3,3
"1890-2020",870,2,1
"1890-2020",871,26,15
"1890-2020",872,2,1
"1890-2020",873,1,1
"1890-2020",882,1,1
"1890-2020",883,3,2
"1890-2020",917,1,1
"1890-2020",918,3,3
"1890-2020",919,1,1
"1890-2020",920,1,1
"1890-2020",921,5,5
"1890-2020",926,8,4
"1890-2020",930,1,1
"1890-2020",935,1,1
"1890-2020",936,1,1
"1890-2020",941,90,71
"1890-2020",975,1,1
"1890-2020",982,14,6
"1890-2020",983,3,3
"1890-2020",984,4,3
"1890-2020",985,4,3
"1890-2020",988,1,1
"1890-2020",990,2,1
"1890-2020",991,2,1
"1890-2020",992,2,1
"1890-2020",993,1,1
"1890-2020",995,1,1
"1890-2020",1025,1,1
"1890-2020",1038,1,1
"1890-2020",1039,1,1
"1890-2020",1041,1,1
"1890-2020",1092,1,1
"1890-2020",1097,1,1
"1890-2020",1104,2,1
"1890-2020",1105,1,1
"1890-2020",1107,43,36
"1890-2020",1139,1,1
"1890-2020",1146,1,1
"1890-2020",1150,1,1
"1890-2020",1151,6,4
"1890-2020",1152,1,1
"1890-2020",1154,3,2
"1890-2020",1156,1,1
"1890-2020",1159,1,1
"1890-2020",1160,3,2
"1890-2020",1163,16,9
"1890-2020",1202,3,2
"1890-2020",1203,1,1
"1890-2020",1205,1,1
"1890-2020",1208,9,7
"1890-2020",1209,22,13
"1890-2020",1213,1,1
"1890-2020",1214,16,9
"1890-2020",1219,14,12
"1890-2020",1259,6,6
"1890-2020",1261,5,4
"1890-2020",1262,32,17
"1890-2020",1263,19,7
"1890-2020",1264,14,9
"1890-2020",1265,28,21
"1890-2020",1270,7,5
"1890-2020",1273,2,1
"1890-2020",1275,2,2
"1890-2020",1278,1,1
"1890-2020",1316,1,1
"1890-2020",1317,9,6
"1890-2020",1318,7,5
"1890-2020",1319,1,1
"1890-2020",1320,11,7
"1890-2020",1321,61,35
"1890-2020",1322,62,34
"1890-2020",1323,2,1
"1890-2020",1324,1,1
"1890-2020",1325,1,1
"1890-2020",1330,4,2
"1890-2020",1331,33,21
"1890-2020",1333,4,2
"1890-2020",1366,1,1
"1890-2020",1373,2,2
"1890-2020",1374,21,14
"1890-2020",1375,58,38
"1890-2020",1376,30,23
"1890-2020",1377,55,34
"1890-2020",1378,174,70
"1890-2020",1381,2,1
"1890-2020",1385,2,1
"1890-2020",1386,16,12
"1890-2020",1387,3,3
"1890-2020",1389,14,7
"1890-2020",1391,8,4
"1890-2020",1392,1,1
"1890-2020",1395,2,2
"1890-2020",1430,2,2
"1890-2020",1431,21,18
"1890-2020",1432,12,9
"1890-2020",1433,42,18
"1890-2020",1434,58,32
"1890-2020",1435,3,3
"1890-2020",1436,2,1
"1890-2020",1439,1,1
"1890-2020",1443,1,1
"1890-2020",1444,33,13
"1890-2020",1446,2,1
"1890-2020",1486,3,2
"1890-2020",1488,43,25
"1890-2020",1489,27,18
"1890-2020",1490,49,28
"1890-2020",1491,14,7
"1890-2020",1492,5,4
"1890-2020",1496,2,2
"1890-2020",1499,8,5
"1890-2020",1501,5,4
"1890-2020",1502,1,1
"1890-2020",1539,2,1
"1890-2020",1545,1,1
"1890-2020",1546,63,35
"1890-2020",1547,108,39
"1890-2020",1548,55,23
"1890-2020",1549,5,3
"1890-2020",1556,15,9
"1890-2020",1591,2,2
"1890-2020",1593,3,2
"1890-2020",1597,1,1
"1890-2020",1598,2,1
"1890-2020",1599,22,15
"1890-2020",1600,15,9
"1890-2020",1601,75,25
"1890-2020",1602,131,45
"1890-2020",1603,83,48
"1890-2020",1604,26,11
"1890-2020",1612,12,7
"1890-2020",1613,6,3
"1890-2020",1647,1,1
"1890-2020",1648,2,1
"1890-2020",1656,39,14
"1890-2020",1657,124,35
"1890-2020",1658,41,15
"1890-2020",1659,97,41
"1890-2020",1660,25,14
"1890-2020",1661,1,1
"1890-2020",1664,2,1
"1890-2020",1666,1,1
"1890-2020",1667,12,7
"1890-2020",1668,5,3
"1890-2020",1675,17,15
"1890-2020",1676,17,14
"1890-2020",1709,1,1
"1890-2020",1711,1,1
"1890-2020",1712,25,19
"1890-2020",1713,34,18
"1890-2020",1714,11,7
"1890-2020",1715,5,3
"1890-2020",1716,4,2
"1890-2020",1718,4,3
"1890-2020",1720,151,69
"1890-2020",1721,66,29
"1890-2020",1722,12,5
"1890-2020",1723,1,1
"1890-2020",1729,2,1
"1890-2020",1731,1,1
"1890-2020",1768,14,9
"1890-2020",1769,89,39
"1890-2020",1770,13,9
"1890-2020",1771,11,5
"1890-2020",1772,5,3
"1890-2020",1774,1,1
"1890-2020",1775,47,25
"1890-2020",1776,39,27
"1890-2020",1785,2,2
"1890-2020",1823,1,1
"1890-2020",1825,6,4
"1890-2020",1826,62,48
"1890-2020",1827,58,31
"1890-2020",1828,27,16
"1890-2020",1829,6,4
"1890-2020",1830,17,13
"1890-2020",1831,12,6
"1890-2020",1832,38,16
"1890-2020",1840,4,2
"1890-2020",1841,2,1
"1890-2020",1873,2,1
"1890-2020",1880,1,1
"1890-2020",1881,32,17
"1890-2020",1882,67,43
"1890-2020",1883,57,28
"1890-2020",1884,238,77
"1890-2020",1885,10,8
"1890-2020",1886,23,18
"1890-2020",1887,11,7
"1890-2020",1888,2,1
"1890-2020",1896,5,5
"1890-2020",1897,1,1
"1890-2020",1935,5,3
"1890-2020",1936,19,13
"1890-2020",1937,99,38
"1890-2020",1938,143,53
"1890-2020",1939,32,13
"1890-2020",1940,53,30
"1890-2020",1941,14,13
"1890-2020",1942,1,1
"1890-2020",1943,1,1
"1890-2020",1945,2,1
"1890-2020",1950,3,2
"1890-2020",1951,5,5
"1890-2020",1952,1,1
"1890-2020",1953,47,33
"1890-2020",1954,8,4
"1890-2020",1955,25,10
"1890-2020",1991,26,16
"1890-2020",1992,8,5
"1890-2020",1993,47,25
"1890-2020",1994,23,15
"1890-2020",1995,7,4
"1890-2020",1996,14,10
"1890-2020",1997,18,16
"1890-2020",1998,1,1
"1890-2020",1999,2,2
"1890-2020",2000,4,2
"1890-2020",2003,4,2
"1890-2020",2004,7,3
"1890-2020",2005,1,1
"1890-2020",2046,2,2
"1890-2020",2047,168,66
"1890-2020",2048,104,57
"1890-2020",2049,209,78
"1890-2020",2050,33,27
"1890-2020",2051,72,48
"1890-2020",2052,14,8
"1890-2020",2053,2,2
"1890-2020",2054,1,1
"1890-2020",2056,7,6
"1890-2020",2059,1,1
"1890-2020",2062,2,1
"1890-2020",2102,140,59
"1890-2020",2103,391,133
"1890-2020",2104,186,106
"1890-2020",2105,174,76
"1890-2020",2106,48,33
"1890-2020",2107,33,19
"1890-2020",2108,2,2
"1890-2020",2109,2,2
"1890-2020",2111,4,2
"1890-2020",2112,1,1
"1890-2020",2114,2,1
"1890-2020",2115,1,1
"1890-2020",2157,2,2
"1890-2020",2158,270,92
"1890-2020",2159,374,106
"1890-2020",2160,84,51
"1890-2020",2161,87,40
"1890-2020",2162,23,16
"1890-2020",2163,4,2
"1890-2020",2169,1,1
"1890-2020",2207,1,1
"1890-2020",2214,1,1
"1890-2020",2215,54,28
"1890-2020",2216,78,36
"1890-2020",2217,67,22
"1890-2020",2218,3,2
"1890-2020",2219,2,1
"1890-2020",2220,2,2
"1890-2020",2271,9,5
"1890-2020",2272,406,66
"1890-2020",2273,42,12
"1890-2020",2274,169,41
"1890-2020",2275,50,26
"1890-2020",2276,13,10
"1890-2020",2326,2,1
"1890-2020",2327,6,3
"1890-2020",2328,42,22
"1890-2020",2329,7,7
"1890-2020",2330,78,25
"1890-2020",2331,3,3
"1890-2020",2332,2,2
"1890-2020",2333,1,1
"1890-2020",2335,1,1
"1890-2020",2338,4,2
"1890-2020",2381,8,4
"1890-2020",2382,19,12
"1890-2020",2383,1,1
"1890-2020",2385,1,1
"1890-2020",2386,3,2
"1890-2020",2387,14,10
"1890-2020",2388,3,3
"1890-2020",2389,7,5
"1890-2020",2405,1,1
"1890-2020",2406,1,1
"1890-2020",2407,7,5
"1890-2020",2436,188,39
"1890-2020",2437,114,32
"1890-2020",2438,12,7
"1890-2020",2439,8,5
"1890-2020",2445,64,26
"1890-2020",2446,7,4
"1890-2020",2450,1,1
"1890-2020",2461,1,1
"1890-2020",2462,3,3
"1890-2020",2463,10,5
"1890-2020",2492,12,8
"1890-2020",2493,1,1
"1890-2020",2495,1,1
"1890-2020",2497,3,2
"1890-2020",2498,2,2
"1890-2020",2499,2,1
"1890-2020",2501,16,12
"1890-2020",2502,9,7
"1890-2020",2505,1,1
"1890-2020",2506,1,1
"1890-2020",2548,7,3
"1890-2020",2549,18,14
"1890-2020",2550,5,2
"1890-2020",2551,1,1
"1890-2020",2555,4,3
"1890-2020",2556,1,1
"1890-2020",2560,2,2
"1890-2020",2563,1,1
"1890-2020",2581,6,6
"1890-2020",2587,4,4
"1890-2020",2604,9,7
"1890-2020",2605,4,3
"1890-2020",2606,2,2
"1890-2020",2607,1,1
"1890-2020",2612,1,1
"1890-2020",2615,1,1
"1890-2020",2619,1,1
"1890-2020",2660,5,3
"1890-2020",2664,1,1
"1890-2020",2673,1,1
"1890-2020",2716,1,1
"1890-2020",2725,2,1
"1890-2020",2771,3,2
"1890-2020",2772,1,1
"1890-2020",2775,2,1
"1890-2020",2779,1,1
"1890-2020",2827,40,27
"1890-2020",2828,1,1
"1890-2020",2831,4,2
"1890-2020",2857,5,5
"1890-2020",2868,1,1
"1890-2020",2878,2,1
"1890-2020",2883,20,13
"1890-2020",2888,8,4
"1890-2020",2912,4,4
"1890-2020",2928,2,1
"1890-2020",2939,5,3
"1890-2020",2944,1,1
"1890-2020",2994,105,47
"1890-2020",2999,2,1
"1890-2020",3002,1,1
"1890-2020",3026,1,1
"1890-2020",3049,2,1
"1890-2020",3050,72,41
"1890-2020",3055,1,1
"1890-2020",3105,1,1
"1890-2020",3106,34,18
"1890-2020",3108,4,3
"1890-2020",3111,3,2
"1890-2020",3140,1,1
"1890-2020",3145,1,1
"1890-2020",3151,2,1
"1890-2020",3158,5,3
"1890-2020",3161,8,7
"1890-2020",3162,23,10
"1890-2020",3163,1,1
"1890-2020",3164,2,1
"1890-2020",3192,1,1
"1890-2020",3198,1,1
"1890-2020",3210,1,1
"1890-2020",3217,8,4
"1890-2020",3218,36,15
"1890-2020",3219,53,28
"1890-2020",3220,24,10
"1890-2020",3221,2,1
"1890-2020",3248,2,1
"1890-2020",3253,1,1
"1890-2020",3255,1,1
"1890-2020",3256,36,17
"1890-2020",3257,1,1
"1890-2020",3262,1,1
"1890-2020",3263,1,1
"1890-2020",3270,2,1
"1890-2020",3273,4,4
"1890-2020",3274,4,2
"1890-2020",3276,33,16
"1890-2020",3277,18,10
"1890-2020",3304,5,3
"1890-2020",3307,2,1
"1890-2020",3310,1,1
"1890-2020",3311,3,2
"1890-2020",3317,1,1
"1890-2020",3318,2,2
"1890-2020",3319,3,2
"1890-2020",3321,14,8
"1890-2020",3322,1,1
"1890-2020",3323,1,1
"1890-2020",3324,1,1
"1890-2020",3326,6,4
"1890-2020",3329,16,11
"1890-2020",3330,3,3
"1890-2020",3331,1,1
"1890-2020",3333,9,5
"1890-2020",3361,7,3
"1890-2020",3362,10,6
"1890-2020",3363,8,8
"1890-2020",3373,6,3
"1890-2020",3382,1,1
"1890-2020",3385,5,4
"1890-2020",3386,8,4
"1890-2020",3387,1,1
"1890-2020",3388,7,4
"1890-2020",3389,2,1
"1890-2020",3417,2,1
"1890-2020",3418,14,13
"1890-2020",3419,2,2
"1890-2020",3421,3,2
"1890-2020",3424,1,1
"1890-2020",3427,1,1
"1890-2020",3428,4,4
"1890-2020",3432,11,8
"1890-2020",3434,1,1
"1890-2020",3438,1,1
"1890-2020",3440,1,1
"1890-2020",3441,4,3
"1890-2020",3442,31,9
"1890-2020",3443,15,8
"1890-2020",3444,21,10
"1890-2020",3445,51,24
"1890-2020",3446,1,1
"1890-2020",3484,1,1
"1890-2020",3487,2,1
"1890-2020",3488,2,1
"1890-2020",3490,6,3
"1890-2020",3492,2,1
"1890-2020",3494,2,1
"1890-2020",3498,40,22
"1890-2020",3499,12,6
"1890-2020",3500,5,4
"1890-2020",3501,4,3
"1890-2020",3502,3,1
"1890-2020",3531,1,1
"1890-2020",3532,2,2
"1890-2020",3533,9,3
"1890-2020",3540,1,1
"1890-2020",3541,9,7
"1890-2020",3542,7,4
"1890-2020",3543,17,12
"1890-2020",3544,3,2
"1890-2020",3552,2,1
"1890-2020",3553,3,2
"1890-2020",3554,17,11
"1890-2020",3555,78,42
"1890-2020",3556,22,14
"1890-2020",3557,4,3
"1890-2020",3558,2,1
"1890-2020",3588,3,3
"1890-2020",3589,2,2
"1890-2020",3596,10,7
"1890-2020",3597,65,28
"1890-2020",3600,2,2
"1890-2020",3603,3,2
"1890-2020",3604,8,4
"1890-2020",3606,3,2
"1890-2020",3607,2,1
"1890-2020",3609,2,2
"1890-2020",3610,30,20
"1890-2020",3611,7,7
"1890-2020",3612,18,9
"1890-2020",3613,33,19
"1890-2020",3614,1,1
"1890-2020",3644,1,1
"1890-2020",3649,2,1
"1890-2020",3652,24,16
"1890-2020",3653,4,4
"1890-2020",3657,1,1
"1890-2020",3658,3,3
"1890-2020",3660,5,4
"1890-2020",3662,5,3
"1890-2020",3664,2,1
"1890-2020",3666,18,11
"1890-2020",3667,8,4
"1890-2020",3668,1,1
"1890-2020",3669,8,7
"1890-2020",3670,4,3
"1890-2020",3701,2,2
"1890-2020",3704,3,3
"1890-2020",3705,11,6
"1890-2020",3707,3,3
"1890-2020",3708,25,17
"1890-2020",3713,41,21
"1890-2020",3714,1,1
"1890-2020",3715,16,11
"1890-2020",3718,2,1
"1890-2020",3723,6,3
"1890-2020",3724,7,3
"1890-2020",3725,8,4
"1890-2020",3757,9,6
"1890-2020",3758,5,2
"1890-2020",3759,26,12
"1890-2020",3760,2,2
"1890-2020",3761,36,17
"1890-2020",3762,2,1
"1890-2020",3763,1,1
"1890-2020",3765,1,1
"1890-2020",3769,20,13
"1890-2020",3780,38,23
"1890-2020",3814,5,5
"1890-2020",3815,28,12
"1890-2020",3816,42,17
"1890-2020",3817,2,1
"1890-2020",3824,3,2
"1890-2020",3827,2,2
"1890-2020",3831,4,2
"1890-2020",3832,8,4
"1890-2020",3835,2,2
"1890-2020",3870,2,2
"1890-2020",3871,2,1
"1890-2020",3872,17,10
"1890-2020",3874,22,12
"1890-2020",3879,2,2
"1890-2020",3880,1,1
"1890-2020",3881,10,6
"1890-2020",3882,3,2
"1890-2020",3883,11,7
"1890-2020",3884,13,7
"1890-2020",3885,19,14
"1890-2020",3889,1,1
"1890-2020",3891,2,1
"1890-2020",3892,47,19
"1890-2020",3893,60,25
"1890-2020",3925,5,3
"1890-2020",3926,17,10
"1890-2020",3927,23,15
"1890-2020",3929,34,14
"1890-2020",3930,61,27
"1890-2020",3931,7,4
"1890-2020",3932,1,1
"1890-2020",3936,17,9
"1890-2020",3937,41,17
"1890-2020",3938,9,5
"1890-2020",3939,10,5
"1890-2020",3940,1,1
"1890-2020",3941,5,4
"1890-2020",3946,6,4
"1890-2020",3947,6,4
"1890-2020",3948,479,94
"1890-2020",3949,20,13
"1890-2020",3950,1,1
"1890-2020",3981,8,4
"1890-2020",3982,19,10
"1890-2020",3983,40,25
"1890-2020",3984,1,1
"1890-2020",3985,17,8
"1890-2020",3986,23,10
"1890-2020",3987,19,11
"1890-2020",3988,3,2
"1890-2020",3990,1,1
"1890-2020",3992,2,2
"1890-2020",3993,276,84
"1890-2020",3994,161,42
"1890-2020",3995,28,13
"1890-2020",3996,139,57
"1890-2020",3998,3,2
"1890-2020",3999,1,1
"1890-2020",4001,18,7
"1890-2020",4003,38,19
"1890-2020",4004,1092,112
"1890-2020",4005,463,109
"1890-2020",4006,17,9
"1890-2020",4036,11,7
"1890-2020",4037,11,6
"1890-2020",4038,35,16
"1890-2020",4040,16,7
"1890-2020",4046,14,6
"1890-2020",4047,7,5
"1890-2020",4048,30,16
"1890-2020",4049,79,40
"1890-2020",4050,361,87
"1890-2020",4051,190,80
"1890-2020",4052,40,20
"1890-2020",4053,3,2
"1890-2020",4054,1,1
"1890-2020",4055,2,2
"1890-2020",4056,11,7
"1890-2020",4057,15,14
"1890-2020",4058,56,20
"1890-2020",4059,25,15
"1890-2020",4060,28,17
"1890-2020",4061,25,16
"1890-2020",4062,5,4
"1890-2020",4099,1,1
"1890-2020",4101,8,4
"1890-2020",4102,18,9
"1890-2020",4103,46,22
"1890-2020",4104,20,12
"1890-2020",4105,15,10
"1890-2020",4106,90,40
"1890-2020",4107,472,142
"1890-2020",4108,96,42
"1890-2020",4110,50,20
"1890-2020",4111,120,63
"1890-2020",4112,40,24
"1890-2020",4113,32,18
"1890-2020",4114,85,36
"1890-2020",4115,5,3
"1890-2020",4116,1,1
"1890-2020",4117,124,44
"1890-2020",4118,137,47
"1890-2020",4153,2,2
"1890-2020",4155,1,1
"1890-2020",4156,30,18
"1890-2020",4157,66,39
"1890-2020",4158,10,5
"1890-2020",4159,6,4
"1890-2020",4160,15,9
"1890-2020",4161,24,16
"1890-2020",4162,6,4
"1890-2020",4163,69,32
"1890-2020",4165,1,1
"1890-2020",4166,225,66
"1890-2020",4167,69,49
"1890-2020",4168,82,55
"1890-2020",4169,33,13
"1890-2020",4170,8,5
"1890-2020",4171,1,1
"1890-2020",4172,1,1
"1890-2020",4173,30,20
"1890-2020",4174,1,1
"1890-2020",4210,11,6
"1890-2020",4213,144,68
"1890-2020",4214,30,20
"1890-2020",4215,20,13
"1890-2020",4216,8,5
"1890-2020",4218,2,1
"1890-2020",4219,17,10
"1890-2020",4221,2,2
"1890-2020",4223,102,60
"1890-2020",4224,92,45
"1890-2020",4225,42,22
"1890-2020",4226,53,31
"1890-2020",4227,9,7
"1890-2020",4229,13,8
"1890-2020",4268,7,4
"1890-2020",4269,27,18
"1890-2020",4270,21,9
"1890-2020",4271,50,28
"1890-2020",4274,4,4
"1890-2020",4275,42,24
"1890-2020",4279,8,8
"1890-2020",4280,19,15
"1890-2020",4281,56,29
"1890-2020",4282,61,20
"1890-2020",4324,214,81
"1890-2020",4325,15,10
"1890-2020",4326,32,17
"1890-2020",4327,7,4
"1890-2020",4328,12,7
"1890-2020",4329,74,33
"1890-2020",4330,29,16
"1890-2020",4333,1,1
"1890-2020",4336,216,53
"1890-2020",4337,46,27
"1890-2020",4338,39,34
"1890-2020",4380,6,6
"1890-2020",4381,119,44
"1890-2020",4382,2,1
"1890-2020",4385,4,3
"1890-2020",4387,3,1
"1890-2020",4390,1,1
"1890-2020",4391,1,1
"1890-2020",4392,597,105
"1890-2020",4393,75,47
"1890-2024",27,1,1
"1890-2024",29,11,9
"1890-2024",30,24,16
"1890-2024",82,1,1
"1890-2024",84,2,2
"1890-2024",85,6,3
"1890-2024",86,20,12
"1890-2024",87,5,4
"1890-2024",88,1,1
"1890-2024",138,7,7
"1890-2024",140,2,2
"1890-2024",141,2,2
"1890-2024",142,3,3
"1890-2024",196,2,1
"1890-2024",197,2,2
"1890-2024",198,9,6
"1890-2024",251,12,9
"1890-2024",253,2,1
"1890-2024",257,38,26
"1890-2024",258,1,1
"1890-2024",307,41,26
"1890-2024",311,1,1
"1890-2024",312,6,5
"1890-2024",313,35,20
"1890-2024",318,1,1
"1890-2024",363,3,2
"1890-2024",364,2,1
"1890-2024",366,2,2
"1890-2024",368,10,9
"1890-2024",369,12,9
"1890-2024",373,1,1
"1890-2024",375,1,1
"1890-2024",419,1,1
"1890-2024",423,7,4
"1890-2024",424,15,12
"1890-2024",425,26,15
"1890-2024",429,1,1
"1890-2024",430,1,1
"1890-2024",432,47,25
"1890-2024",433,11,7
"1890-2024",434,1,1
"1890-2024",475,3,3
"1890-2024",476,1,1
"1890-2024",478,1,1
"1890-2024",479,6,5
"1890-2024",480,104,66
"1890-2024",481,2,1
"1890-2024",482,21,13
"1890-2024",483,7,5
"1890-2024",486,1,1
"1890-2024",487,3,2
"1890-2024",488,256,50
"1890-2024",489,248,68
"1890-2024",490,63,31
"1890-2024",530,1,1
"1890-2024",536,6,5
"1890-2024",537,1,1
"1890-2024",539,169,46
"1890-2024",540,194,57
"1890-2024",541,95,38
"1890-2024",542,270,101
"1890-2024",543,84,35
