"period","cell_id","record_count","richness"
"1890-1940",3662,1,1
"1890-1940",3765,1,1
"1890-1940",3880,1,1
"1890-1940",3882,1,1
"1890-1940",3983,3,3
"1890-1940",3990,1,1
"1890-1940",3996,1,1
"1890-1940",4049,1,1
"1890-1940",4051,1,1
"1890-1940",4060,5,5
"1890-1940",4161,6,4
"1890-1940",4163,1,1
"1890-1940",4168,2,2
"1890-1940",4279,1,1
"1890-1940",4280,1,1
"1890-1940",4281,26,14
"1890-1940",4387,1,1
"1890-1940",4392,1,1
"1890-1950",368,1,1
"1890-1950",369,1,1
"1890-1950",479,1,1
"1890-1950",480,52,39
"1890-1950",482,1,1
"1890-1950",488,17,11
"1890-1950",489,17,14
"1890-1950",542,26,23
"1890-1950",545,2,2
"1890-1950",546,101,50
"1890-1950",547,1,1
"1890-1950",654,2,2
"1890-1950",657,55,37
"1890-1950",658,1,1
"1890-1950",661,11,10
"1890-1950",774,7,7
"1890-1950",871,1,1
"1890-1950",882,1,1
"1890-1950",941,1,1
"1890-1950",1214,1,1
"1890-1950",1219,11,9
"1890-1950",1264,3,3
"1890-1950",1366,1,1
"1890-1950",1376,2,2
"1890-1950",1599,2,2
"1890-1950",1602,1,1
"1890-1950",1712,4,3
"1890-1950",1768,1,1
"1890-1950",1826,3,3
"1890-1950",1880,1,1
"1890-1950",1998,1,1
"1890-1950",2215,4,2
"1890-1950",2216,1,1
"1890-1950",2549,1,1
"1890-1950",2605,1,1
"1890-1950",3158,5,3
"1890-1950",3270,2,1
"1890-1950",3273,1,1
"1890-1950",3310,1,1
"1890-1950",3311,1,1
"1890-1950",3324,1,1
"1890-1950",3432,4,4
"1890-1950",3440,1,1
"1890-1950",3445,7,6
"1890-1950",3553,1,1
"1890-1950",3662,1,1
"1890-1950",3765,1,1
"1890-1950",3880,1,1
"1890-1950",3882,1,1
"1890-1950",3889,1,1
"1890-1950",3983,3,3
"1890-1950",3990,1,1
"1890-1950",3992,1,1
"1890-1950",3996,1,1
"1890-1950",4049,1,1
"1890-1950",4051,1,1
"1890-1950",4055,1,1
"1890-1950",4056,3,2
"1890-1950",4060,6,6
"1890-1950",4111,1,1
"1890-1950",4161,6,4
"1890-1950",4163,1,1
"1890-1950",4168,17,11
"1890-1950",4279,1,1
"1890-1950",4280,1,1
"1890-1950",4281,28,15
"1890-1950",4387,3,1
"1890-1950",4392,3,2
"1890-1960",368,1,1
"1890-1960",369,1,1
"1890-1960",479,1,1
"1890-1960",480,52,39
"1890-1960",482,1,1
"1890-1960",488,21,13
"1890-1960",489,24,20
"1890-1960",542,106,63
"1890-1960",545,3,3
"1890-1960",546,105,51
"1890-1960",547,1,1
"1890-1960",654,2,2
"1890-1960",657,72,49
"1890-1960",658,1,1
"1890-1960",661,16,15
"1890-1960",774,21,18
"1890-1960",871,1,1
"1890-1960",882,1,1
"1890-1960",883,1,1
"1890-1960",941,10,9
"1890-1960",1107,2,2
"1890-1960",1214,1,1
"1890-1960",1219,11,9
"1890-1960",1264,3,3
"1890-1960",1278,1,1
"1890-1960",1331,3,3
"1890-1960",1366,1,1
"1890-1960",1376,2,2
"1890-1960",1488,1,1
"1890-1960",1499,1,1
"1890-1960",1501,2,2
"1890-1960",1502,1,1
"1890-1960",1599,3,3
"1890-1960",1602,1,1
"1890-1960",1613,1,1
"1890-1960",1712,4,3
"1890-1960",1720,6,6
"1890-1960",1721,13,9
"1890-1960",1768,1,1
"1890-1960",1826,3,3
"1890-1960",1880,1,1
"1890-1960",1998,1,1
"1890-1960",2104,2,2
"1890-1960",2215,12,9
"1890-1960",2216,1,1
"1890-1960",2549,1,1
"1890-1960",2587,1,1
"1890-1960",2605,1,1
"1890-1960",3158,5,3
"1890-1960",3270,2,1
"1890-1960",3273,1,1
"1890-1960",3310,1,1
"1890-1960",3311,1,1
"1890-1960",3324,1,1
"1890-1960",3326,4,3
"1890-1960",3382,1,1
"1890-1960",3432,4,4
"1890-1960",3440,1,1
"1890-1960",3445,7,6
"1890-1960",3541,1,1
"1890-1960",3553,1,1
"1890-1960",3662,1,1
"1890-1960",3765,1,1
"1890-1960",3824,3,2
"1890-1960",3880,1,1
"1890-1960",3882,1,1
"1890-1960",3889,1,1
"1890-1960",3983,3,3
"1890-1960",3990,1,1
"1890-1960",3992,1,1
"1890-1960",3996,1,1
"1890-1960",4049,2,2
"1890-1960",4051,1,1
"1890-1960",4055,1,1
"1890-1960",4056,4,3
"1890-1960",4060,6,6
"1890-1960",4111,2,1
"1890-1960",4112,1,1
"1890-1960",4161,6,4
"1890-1960",4163,1,1
"1890-1960",4167,1,1
"1890-1960",4168,22,16
"1890-1960",4274,1,1
"1890-1960",4279,1,1
"1890-1960",4280,2,2
"1890-1960",4281,32,15
"1890-1960",4387,3,1
"1890-1960",4390,1,1
"1890-1960",4392,4,3
"1890-1970",368,1,1
"1890-1970",369,1,1
"1890-1970",479,1,1
"1890-1970",480,53,40
"1890-1970",482,1,1
"1890-1970",488,21,13
"1890-1970",489,29,23
"1890-1970",541,8,8
"1890-1970",542,109,64
"1890-1970",544,4,4
"1890-1970",545,3,3
"1890-1970",546,107,53
"1890-1970",547,1,1
"1890-1970",549,1,1
"1890-1970",590,2,2
"1890-1970",597,1,1
"1890-1970",653,1,1
"1890-1970",654,3,3
"1890-1970",656,6,5
"1890-1970",657,78,52
"1890-1970",658,1,1
"1890-1970",661,16,15
"1890-1970",774,77,59
"1890-1970",775,1,1
"1890-1970",871,1,1
"1890-1970",882,1,1
"1890-1970",883,1,1
"1890-1970",941,90,71
"1890-1970",995,1,1
"1890-1970",1107,43,36
"1890-1970",1214,1,1
"1890-1970",1219,11,9
"1890-1970",1259,6,6
"1890-1970",1261,1,1
"1890-1970",1263,19,7
"1890-1970",1264,4,4
"1890-1970",1278,1,1
"1890-1970",1331,21,17
"1890-1970",1366,1,1
"1890-1970",1376,3,3
"1890-1970",1386,14,11
"1890-1970",1389,1,1
"1890-1970",1392,1,1
"1890-1970",1395,2,2
"1890-1970",1488,31,19
"1890-1970",1496,1,1
"1890-1970",1499,1,1
"1890-1970",1501,5,4
"1890-1970",1502,1,1
"1890-1970",1599,14,10
"1890-1970",1602,1,1
"1890-1970",1613,6,3
"1890-1970",1712,4,3
"1890-1970",1714,1,1
"1890-1970",1720,6,6
"1890-1970",1721,13,9
"1890-1970",1768,1,1
"1890-1970",1826,13,11
"1890-1970",1831,1,1
"1890-1970",1880,1,1
"1890-1970",1883,1,1
"1890-1970",1992,3,1
"1890-1970",1998,1,1
"1890-1970",2103,1,1
"1890-1970",2104,2,2
"1890-1970",2214,1,1
