"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","MAP_LABEL","DESC"
"Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,"Pinaceae","Abies",NA,"Abies amabilis","","species","UBC","UBCVascular","V5324","","5ACFAB95-95C9-FE4D-BA27-BF17B4F57D6E","John Davidson","s.n.",NA,"1912-08-16",1912,8,16,"PRESERVED_SPECIMEN","Garibaldi Camp",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"[John Davidson]",NA,NA,NA,NA,NA,"CWHds1","Southern Dry Submaritime Coastal Western Hemlock Zone"
"Abies lasiocarpa","(Hooker) Nuttall",75241,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,"Pinaceae","Abies",NA,"Abies lasiocarpa","","species","iNaturalist","Observations","16149835","","https://www.inaturalist.org/observations/16149835","Maddie Edmonds","",NA,"2018-08-30",2018,8,30,"Human Observation","",NA,NA,"British Columbia","Canada","CA",10,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,"CWHds1","Southern Dry Submaritime Coastal Western Hemlock Zone"
"Acer glabrum var. douglasii","Torr.",181694,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,"Sapindaceae","Acer",NA,"Acer glabrum","douglasii","varietas","CPNWH","","2468436","","9090346a-cceb-4c0f-83e9-09119a3a3a65","John Davidson","V5723",NA,"1912-08-06",1912,8,6,"OCCURRENCE","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,"CWHds1","Southern Dry Submaritime Coastal Western Hemlock Zone"
"Acer glabrum var. douglasii","Torr.",181694,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,"Sapindaceae","Acer",NA,"Acer glabrum","douglasii","varietas","iNaturalist","Observations","94528104","","https://www.inaturalist.org/observations/94528104","Taylor Justason","",NA,"2021-09-08",2021,9,8,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",7,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Taylor Justason",NA,NA,NA,NA,NA,"CWHds1","Southern Dry Submaritime Coastal Western Hemlock Zone"
"Acer glabrum var. douglasii","Torr.",181694,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,"Sapindaceae","Acer",NA,"Acer glabrum","douglasii","varietas","iNaturalist","Observations","94528104","","https://www.inaturalist.org/observations/94528104","Taylor Justason","",NA,"2021-09-08",2021,9,8,"Human Observation","",NA,NA,"British Columbia","Canada","CA",7,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,"CWHds1","Southern Dry Submaritime Coastal Western Hemlock Zone"
"Acer macrophyllum","Pursh",48227,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,"Sapindaceae","Acer",NA,"Acer macrophyllum","","species","iNaturalist","Observations","130942633","","https://www.inaturalist.org/observations/130942633","jessiemcfadden","",NA,"2022-08-10",2022,8,10,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",64,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"jessiemcfadden",NA,NA,NA,NA,NA,"CWHds1","Southern Dry Submaritime Coastal Western Hemlock Zone"
"Acer macrophyllum","Pursh",48227,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,"Sapindaceae","Acer",NA,"Acer macrophyllum","","species","iNaturalist","Observations","130942633","","https://www.inaturalist.org/observations/130942633","jessiemcfadden","",NA,"2022-08-10",2022,8,10,"Human Observation","",NA,NA,"British Columbia","Canada","CA",64,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,"CWHds1","Southern Dry Submaritime Coastal Western Hemlock Zone"
"Achillea millefolium","L.",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Achillea",NA,"Achillea millefolium","","species","iNaturalist","Observations","46675942","","https://www.inaturalist.org/observations/46675942","Maleen Mund","",NA,"2020-05-20",2020,5,20,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"exotic","SNA (2019)",NA,"Maleen Mund",NA,NA,NA,NA,NA,"CWHds1","Southern Dry Submaritime Coastal Western Hemlock Zone"
"Achillea millefolium","L.",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Achillea",NA,"Achillea millefolium","","species","iNaturalist","Observations","33711376","","https://www.inaturalist.org/observations/33711376","Sean Daniels","",NA,"2019-06-02",2019,6,2,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",22,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"exotic","SNA (2019)",NA,"Sean Daniels",NA,NA,NA,NA,NA,"CWHds1","Southern Dry Submaritime Coastal Western Hemlock Zone"
"Achillea millefolium","L.",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Achillea",NA,"Achillea millefolium","","species","iNaturalist","Observations","46675942","","https://www.inaturalist.org/observations/46675942","Maleen Mund","",NA,"2020-05-20",2020,5,20,"Human Observation","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"exotic","SNA (2019)",NA,"",NA,NA,NA,NA,NA,"CWHds1","Southern Dry Submaritime Coastal Western Hemlock Zone"
