"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","MAP_LABEL","DESC"
"Agrostis mertensii","Trin.",158138,"Plantae","Tracheophyta","Liliopsida","Poales","",NA,"Poaceae","Agrostis",NA,"Agrostis mertensii","","species","iNaturalist","Observations","32594203","","https://www.inaturalist.org/observations/32594203","judith holm","",NA,"2019-09-10",2019,9,10,"Human Observation","",NA,NA,"British Columbia","Canada","CA",428,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Agrostis scabra","Willd.",75319,"Plantae","Tracheophyta","Liliopsida","Poales","",NA,"Poaceae","Agrostis",NA,"Agrostis scabra","","species","UBC","UBCVascular","V198402","","8EFCB7AE-27B9-7248-B51F-E76535A78E99","B. Fraser","s.n.",NA,"1965-08-29",1965,8,29,"PRESERVED_SPECIMEN","Garibaldi Park, Sentinel Glacier foreland",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Vladimir J. Krajina 1965",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Agrostis variabilis","Rydb.",75320,"Plantae","Tracheophyta","Liliopsida","Poales","",NA,"Poaceae","Agrostis",NA,"Agrostis variabilis","","species","UBC","UBCVascular","V198408","","D6BD3EF9-6999-1645-A65F-5FF19CE2D9FB","V. Bednar, B. Fraser, Satoru Kojima, Vladimir J. Krajina","s.n.",NA,"1967-08-18",1967,8,18,"PRESERVED_SPECIMEN","Garibaldi Park, Sentinel Glacier foreland",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","",NA,"Vladimir J. Krajina 1967",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Alnus alnobetula ssp. sinuata","(Ehrh.) K.Koch",939032,"Plantae","Tracheophyta","Magnoliopsida","Fagales","",NA,"Betulaceae","Alnus",NA,"Alnus alnobetula","sinuata","subspecies","UBC","UBCVascular","V158234","","AA9F5068-F28D-2A47-A5E5-C6D14B888835","B. Fraser","s.n.",NA,"1965-07-24",1965,7,24,"PRESERVED_SPECIMEN","Garibaldi National Park, Sentinel glacier foreland",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"John J. Furlow 2001 (Ohio State University Herbarium)",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Alnus rubra","Bong.",56034,"Plantae","Tracheophyta","Magnoliopsida","Fagales","",NA,"Betulaceae","Alnus",NA,"Alnus rubra","","species","UBC","UBCVascular","V162051","","56B5DB61-B147-BF4B-8AFF-09B6DC4681BB","Richard Hebda","s.n.",NA,"1975-09-07",1975,9,7,"PRESERVED_SPECIMEN","Greater Vancouver Regional District, North Delta, foot of Panorama Ridge, northeast of Burns Bog",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"r. Hebda",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Anaphalis margaritacea","(L.) Benth. & Hook.",52833,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Anaphalis",NA,"Anaphalis margaritacea","","species","UBC","UBCVascular","V56036","","E1A45FA6-4933-344F-AA48-0A9553CA7FE7","Vernon C. Brink","56-8-24",NA,"1956-08-01",1956,8,1,"PRESERVED_SPECIMEN","Sphinx glacier area, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Antennaria alpina","(L.) Gaertn.",154163,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Antennaria",NA,"Antennaria alpina","","species","UBC","UBCVascular","V108846","","383620B3-54EB-8F45-B2F7-4B4D1D04F164","Vladimir J. Krajina, R.C. Brooke","64092025",NA,"1964-09-20",1964,9,20,"PRESERVED_SPECIMEN","Garibaldi Park, Little Diamond Head, Cheekye Ridge",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Jamie D. Fenneman",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Antennaria media","Greene",75466,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Antennaria",NA,"Antennaria media","","species","UBC","UBCVascular","V97822","","34948F61-672D-9640-A968-C05AEEBA00C0","E.B. Peterson","s.n.",NA,"1961-08-19",1961,8,19,"PRESERVED_SPECIMEN","Garibaldi Park, Little Diamond Head",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2019)",NA,"E.B. Peterson",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Antennaria rosea","Greene",53096,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Antennaria",NA,"Antennaria rosea","","species","UBC","UBCVascular","V190638","","2AB158E9-979D-D848-92B3-A280E6E945B6","H. Sampson","s.n.",NA,"1913-08-03",1913,8,3,"PRESERVED_SPECIMEN","Garibaldi District, Panorama Ridge",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","SNR (2015)",NA,"H. Samson",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Antennaria umbrinella","Rydb.",75471,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Antennaria",NA,"Antennaria umbrinella","","species","UBC","UBCVascular","V108987","","85943B5B-6CAB-4140-B649-ADCBDC0DCEEE","Vladimir J. Krajina, R.C. Brooke","64092024",NA,"1964-09-20",1964,9,20,"PRESERVED_SPECIMEN","Garibaldi Park, Little Diamond Head, Cheekye Ridge",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2019)",NA,"Vladimir J. Krajina",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
